Tipo_Prenda,Genero,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesion,Genero_Incluyente,Calidad
Vestido,Dama,Verde,Casual,Marca D,1240.77,28,5,33,Educación,Mujer,Buena
Vestido,Dama,Amarillo,Casual,Marca D,1569.77,44,45,26,Medicina,Hombre,Mala
Falda,Dama,Rojo,Casual,Marca A,1935.44,34,47,29,Medicina,Mujer,Mala
Otros,Dama,Azul,Casual,Marca C,789.81,43,27,38,Educación,Hombre,Mala
Otros,Dama,Azul,Deportivo,Marca A,948.79,32,50,24,Educación,HombreMujer,Mala
Pantalón,Dama,Negro,Casual,Marca D,1746.99,34,9,59,Educación,Hombre,Mala
Falda,Dama,Verde,Casual,Marca A,677.87,36,18,35,Medicina,Hombre,Mala
Pantalón,Dama,Azul,Deportivo,Marca B,1139.48,34,36,49,Artes,Mujer,Mala
Chaqueta,Dama,Verde,Formal,Marca C,1601.94,45,31,40,Educación,Hombre,Regular
Camisa,Caballero,Verde,Casual,Marca D,1117.45,34,39,43,Artes,Hombre,Mala
Otros,Dama,Amarillo,Deportivo,Marca D,830.04,33,12,58,Medicina,HombreMujer,Regular
Pantalón,Dama,Blanco,Deportivo,Marca A,752.2,33,32,41,Artes,HombreMujer,Buena
Chaqueta,Dama,Azul,Deportivo,Marca D,1311.28,39,16,53,Educación,HombreMujer,Mala
Falda,Caballero,Amarillo,Deportivo,Marca C,1833.7,45,36,49,Medicina,Mujer,Regular
Otros,Dama,Blanco,Deportivo,Marca C,575.16,33,2,32,Educación,HombreMujer,Mala
Camisa,Caballero,Negro,Casual,Marca D,1289.48,37,31,50,Ingeniería,HombreMujer,Buena
Otros,Caballero,Negro,Deportivo,Marca C,558.15,28,35,44,Artes,Mujer,Regular
Pantalón,Caballero,Azul,Casual,Marca A,840.68,33,22,43,Educación,HombreMujer,Mala
Camisa,Dama,Blanco,Deportivo,Marca C,1998.4,34,0,34,Ingeniería,Hombre,Buena
Pantalón,Caballero,Verde,Casual,Marca B,1345.65,29,24,34,Ingeniería,Mujer,Mala
Camisa,Dama,Blanco,Casual,Marca B,922.1,37,12,53,Educación,Hombre,Buena
Pantalón,Caballero,Negro,Deportivo,Marca A,900.99,46,11,32,Ciencias Sociales y Humanidades,HombreMujer,Regular
Falda,Caballero,Negro,Formal,Marca D,1450.25,32,45,43,Educación,Hombre,Regular
Camisa,Caballero,Amarillo,Formal,Marca D,745.19,38,45,37,Ciencias Sociales y Humanidades,Hombre,Buena
Otros,Dama,Blanco,Casual,Marca A,1381.54,41,28,51,Educación,Hombre,Buena
Camisa,Caballero,Verde,Casual,Marca B,1408.15,31,22,63,Ingeniería,Hombre,Mala
Pantalón,Caballero,Verde,Formal,Marca B,1203.86,44,21,28,Educación,HombreMujer,Buena
Vestido,Caballero,Negro,Formal,Marca B,1998.97,42,2,52,Artes,Mujer,Mala
Vestido,Dama,Blanco,Deportivo,Marca B,1567.57,32,34,59,Medicina,Mujer,Regular
Vestido,Dama,Blanco,Deportivo,Marca B,676.46,45,32,32,Educación,HombreMujer,Buena
Vestido,Caballero,Azul,Deportivo,Marca D,559.77,43,10,59,Ingeniería,Mujer,Regular
Vestido,Caballero,Rojo,Casual,Marca A,1783.69,30,26,44,Educación,Hombre,Mala
Falda,Dama,Negro,Casual,Marca D,785.38,34,1,43,Ciencias Sociales y Humanidades,Mujer,Buena
Camisa,Dama,Azul,Deportivo,Marca B,1385.16,42,3,43,Medicina,Hombre,Mala
Pantalón,Dama,Blanco,Formal,Marca B,1212.25,38,35,26,Artes,Mujer,Buena
Pantalón,Dama,Blanco,Deportivo,Marca B,678.5,43,40,18,Ciencias Sociales y Humanidades,HombreMujer,Mala
Chaqueta,Caballero,Azul,Casual,Marca A,1947.7,32,47,33,Medicina,Hombre,Regular
Camisa,Caballero,Blanco,Deportivo,Marca D,1902.03,42,31,37,Medicina,Mujer,Buena
Camisa,Caballero,Blanco,Casual,Marca A,954.53,38,46,47,Ingeniería,HombreMujer,Regular
Camisa,Caballero,Azul,Deportivo,Marca A,1594.24,38,35,47,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Caballero,Amarillo,Deportivo,Marca B,1070.8,32,5,24,Ingeniería,Hombre,Buena
Otros,Dama,Rojo,Deportivo,Marca D,1446.55,37,14,44,Ciencias Sociales y Humanidades,Hombre,Buena
Camisa,Dama,Rojo,Deportivo,Marca C,551.35,38,7,68,Educación,Mujer,Buena
Chaqueta,Dama,Blanco,Casual,Marca D,1718.53,39,42,32,Ingeniería,Mujer,Mala
Camisa,Dama,Blanco,Deportivo,Marca C,1581.81,45,33,24,Ciencias Sociales y Humanidades,HombreMujer,Mala
Vestido,Dama,Negro,Casual,Marca D,651.16,34,48,70,Educación,Mujer,Buena
Vestido,Caballero,Rojo,Casual,Marca B,835.49,45,47,64,Educación,Mujer,Mala
Chaqueta,Dama,Amarillo,Casual,Marca C,843.0,45,45,62,Medicina,Hombre,Regular
Camisa,Dama,Amarillo,Formal,Marca B,1200.73,37,48,66,Artes,HombreMujer,Regular
Falda,Dama,Negro,Casual,Marca C,824.8,40,20,40,Ingeniería,HombreMujer,Regular
Otros,Caballero,Negro,Casual,Marca A,692.89,33,12,51,Ciencias Sociales y Humanidades,HombreMujer,Regular
Otros,Dama,Negro,Deportivo,Marca D,1990.25,42,24,26,Ingeniería,Mujer,Regular
Vestido,Dama,Azul,Deportivo,Marca A,1142.4,35,17,70,Medicina,Hombre,Regular
Otros,Dama,Verde,Formal,Marca D,1217.12,37,26,24,Educación,Mujer,Regular
Chaqueta,Dama,Negro,Formal,Marca D,753.94,28,13,40,Artes,Mujer,Mala
Otros,Caballero,Blanco,Deportivo,Marca B,949.89,44,19,32,Ciencias Sociales y Humanidades,HombreMujer,Mala
Otros,Dama,Azul,Formal,Marca B,598.73,32,36,22,Ingeniería,Mujer,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca A,1522.53,42,24,44,Ciencias Sociales y Humanidades,HombreMujer,Buena
Camisa,Caballero,Azul,Formal,Marca A,1618.98,31,35,27,Ciencias Sociales y Humanidades,Hombre,Buena
Otros,Dama,Rojo,Casual,Marca C,1406.74,35,34,22,Medicina,Mujer,Regular
Falda,Dama,Rojo,Casual,Marca B,1538.3,33,12,26,Artes,Mujer,Regular
Chaqueta,Dama,Rojo,Deportivo,Marca A,1281.41,40,13,37,Ciencias Sociales y Humanidades,Hombre,Mala
Pantalón,Dama,Blanco,Formal,Marca A,610.3,34,23,20,Artes,HombreMujer,Regular
Vestido,Caballero,Rojo,Formal,Marca A,667.02,40,49,50,Educación,HombreMujer,Mala
Chaqueta,Dama,Verde,Casual,Marca B,1177.8,29,2,63,Ciencias Sociales y Humanidades,Hombre,Mala
Chaqueta,Caballero,Amarillo,Deportivo,Marca A,535.98,45,29,33,Ciencias Sociales y Humanidades,Hombre,Buena
Vestido,Dama,Blanco,Casual,Marca A,1854.34,43,0,59,Medicina,Mujer,Mala
Camisa,Caballero,Rojo,Formal,Marca A,1398.24,28,12,23,Medicina,Hombre,Buena
Falda,Dama,Verde,Deportivo,Marca B,1047.01,46,19,57,Artes,Hombre,Mala
Pantalón,Dama,Negro,Deportivo,Marca B,1006.98,33,10,56,Educación,Hombre,Mala
Camisa,Dama,Verde,Casual,Marca C,759.94,37,39,47,Ingeniería,Mujer,Regular
Chaqueta,Caballero,Amarillo,Casual,Marca A,738.71,31,38,19,Ingeniería,HombreMujer,Mala
Falda,Caballero,Verde,Formal,Marca D,1069.47,31,36,49,Medicina,Mujer,Regular
Chaqueta,Dama,Amarillo,Formal,Marca B,1256.45,33,4,35,Ingeniería,Mujer,Buena
Camisa,Dama,Rojo,Casual,Marca C,1974.65,28,35,58,Artes,Mujer,Buena
Camisa,Dama,Blanco,Deportivo,Marca D,1590.99,44,5,23,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Caballero,Azul,Deportivo,Marca C,1187.18,39,30,62,Medicina,Hombre,Mala
Pantalón,Caballero,Azul,Deportivo,Marca D,833.53,41,7,18,Medicina,Hombre,Regular
Vestido,Caballero,Negro,Deportivo,Marca D,1688.67,30,30,47,Ingeniería,HombreMujer,Mala
Falda,Caballero,Negro,Deportivo,Marca B,1908.99,30,22,28,Medicina,Hombre,Regular
Chaqueta,Caballero,Rojo,Casual,Marca A,1187.57,42,34,60,Medicina,Hombre,Buena
Pantalón,Caballero,Azul,Deportivo,Marca C,600.5,39,37,32,Educación,Mujer,Buena
Otros,Dama,Amarillo,Deportivo,Marca C,1801.15,35,26,33,Medicina,Mujer,Buena
Falda,Caballero,Rojo,Formal,Marca D,848.87,37,22,38,Ciencias Sociales y Humanidades,HombreMujer,Buena
Camisa,Dama,Rojo,Formal,Marca A,1714.69,34,49,48,Ciencias Sociales y Humanidades,Hombre,Regular
Otros,Caballero,Verde,Casual,Marca C,532.51,34,37,22,Ingeniería,Mujer,Mala
Falda,Caballero,Verde,Deportivo,Marca B,872.82,38,35,44,Ingeniería,Mujer,Regular
Camisa,Caballero,Blanco,Casual,Marca A,668.17,39,9,40,Ciencias Sociales y Humanidades,Hombre,Buena
Falda,Dama,Rojo,Deportivo,Marca A,954.38,28,26,34,Ingeniería,Mujer,Regular
Otros,Dama,Verde,Casual,Marca B,1971.81,40,8,62,Educación,Mujer,Buena
Chaqueta,Dama,Negro,Deportivo,Marca C,1736.59,32,49,50,Ciencias Sociales y Humanidades,HombreMujer,Regular
Otros,Dama,Negro,Deportivo,Marca A,639.64,46,37,61,Educación,Hombre,Buena
Vestido,Caballero,Rojo,Casual,Marca D,569.58,46,48,35,Ingeniería,Mujer,Mala
Chaqueta,Dama,Amarillo,Deportivo,Marca D,1337.73,43,20,66,Medicina,HombreMujer,Mala
Vestido,Dama,Negro,Formal,Marca B,1362.58,34,16,63,Ingeniería,Mujer,Regular
Chaqueta,Dama,Negro,Formal,Marca B,1305.44,42,50,25,Ingeniería,Mujer,Buena
Vestido,Dama,Negro,Formal,Marca D,1961.76,34,13,29,Medicina,Mujer,Buena
Vestido,Dama,Amarillo,Formal,Marca D,1884.4,35,15,65,Artes,Hombre,Buena
Vestido,Dama,Blanco,Casual,Marca B,1563.82,30,17,31,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Blanco,Formal,Marca B,812.88,42,18,68,Ciencias Sociales y Humanidades,Mujer,Mala
Otros,Caballero,Rojo,Casual,Marca D,509.75,39,24,29,Medicina,Hombre,Buena
Vestido,Dama,Negro,Casual,Marca B,1657.9,46,40,41,Artes,HombreMujer,Mala
Pantalón,Caballero,Verde,Formal,Marca C,1325.52,32,11,28,Ingeniería,Hombre,Buena
Chaqueta,Caballero,Verde,Formal,Marca D,593.8,44,48,56,Ingeniería,HombreMujer,Regular
Otros,Dama,Blanco,Deportivo,Marca D,1980.5,32,12,45,Medicina,Mujer,Mala
Otros,Caballero,Azul,Casual,Marca A,1084.2,31,22,69,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Caballero,Rojo,Deportivo,Marca A,846.06,42,5,44,Artes,Mujer,Regular
Falda,Dama,Azul,Formal,Marca D,1822.27,45,0,52,Ciencias Sociales y Humanidades,Mujer,Mala
Camisa,Dama,Verde,Formal,Marca A,1057.45,34,41,67,Educación,Hombre,Regular
Chaqueta,Dama,Blanco,Formal,Marca C,1060.77,39,41,20,Ingeniería,Mujer,Mala
Otros,Dama,Amarillo,Deportivo,Marca A,1547.51,30,14,66,Educación,Hombre,Mala
Falda,Caballero,Blanco,Casual,Marca A,1182.7,33,2,22,Artes,Hombre,Buena
Otros,Dama,Blanco,Formal,Marca D,1004.86,35,0,34,Medicina,HombreMujer,Regular
Falda,Dama,Verde,Formal,Marca D,1707.89,41,10,39,Medicina,HombreMujer,Mala
Otros,Dama,Rojo,Formal,Marca C,630.8,42,32,69,Ingeniería,HombreMujer,Buena
Falda,Caballero,Amarillo,Formal,Marca C,582.61,34,18,42,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Verde,Deportivo,Marca B,1367.11,32,46,27,Ciencias Sociales y Humanidades,HombreMujer,Buena
Camisa,Dama,Azul,Formal,Marca A,1692.6,32,40,49,Artes,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Formal,Marca B,705.54,40,24,23,Medicina,Hombre,Regular
Falda,Dama,Rojo,Deportivo,Marca C,861.61,30,31,51,Artes,HombreMujer,Mala
Pantalón,Dama,Rojo,Formal,Marca B,1500.66,28,28,58,Medicina,Hombre,Buena
Pantalón,Dama,Verde,Formal,Marca A,539.97,39,41,55,Educación,Hombre,Mala
Camisa,Dama,Amarillo,Deportivo,Marca D,602.88,30,19,44,Artes,Hombre,Regular
Falda,Dama,Negro,Casual,Marca C,610.85,37,23,36,Artes,Mujer,Buena
Camisa,Dama,Blanco,Formal,Marca A,514.84,33,7,38,Artes,Mujer,Mala
Otros,Caballero,Amarillo,Formal,Marca A,1426.4,38,31,36,Artes,HombreMujer,Mala
Otros,Dama,Azul,Casual,Marca B,609.42,43,43,45,Ingeniería,Hombre,Buena
Camisa,Caballero,Rojo,Formal,Marca A,576.55,34,4,49,Ingeniería,HombreMujer,Mala
Pantalón,Caballero,Negro,Deportivo,Marca C,1631.88,37,22,19,Medicina,HombreMujer,Buena
Pantalón,Caballero,Verde,Casual,Marca B,1640.29,36,10,24,Educación,Mujer,Buena
Falda,Dama,Verde,Formal,Marca B,905.99,43,1,19,Educación,Hombre,Buena
Falda,Dama,Azul,Deportivo,Marca D,851.69,45,23,46,Artes,Hombre,Buena
Chaqueta,Caballero,Amarillo,Formal,Marca C,1827.84,42,7,45,Ingeniería,HombreMujer,Buena
Pantalón,Caballero,Rojo,Deportivo,Marca B,670.72,46,6,61,Ingeniería,HombreMujer,Regular
Camisa,Caballero,Rojo,Formal,Marca A,1863.09,36,26,24,Educación,HombreMujer,Regular
Vestido,Dama,Verde,Casual,Marca B,1995.38,39,20,56,Ingeniería,Mujer,Mala
Vestido,Dama,Rojo,Deportivo,Marca B,1669.7,40,48,59,Educación,Mujer,Mala
Pantalón,Dama,Verde,Casual,Marca D,1099.65,33,21,18,Ciencias Sociales y Humanidades,HombreMujer,Buena
Chaqueta,Caballero,Negro,Casual,Marca C,504.68,44,5,22,Medicina,Hombre,Buena
Camisa,Caballero,Negro,Deportivo,Marca A,1872.67,39,6,62,Artes,Mujer,Regular
Otros,Dama,Azul,Deportivo,Marca B,1274.32,28,47,56,Ingeniería,Hombre,Buena
Falda,Caballero,Negro,Formal,Marca D,644.02,37,19,59,Educación,Hombre,Regular
Vestido,Dama,Negro,Deportivo,Marca B,1536.95,38,18,35,Artes,HombreMujer,Regular
Pantalón,Caballero,Azul,Casual,Marca A,1093.18,36,10,31,Educación,Hombre,Mala
Otros,Dama,Azul,Formal,Marca C,1680.98,38,34,62,Educación,HombreMujer,Buena
Pantalón,Dama,Blanco,Deportivo,Marca D,1377.72,41,30,50,Ingeniería,Hombre,Regular
Camisa,Caballero,Rojo,Casual,Marca C,732.31,28,20,50,Medicina,HombreMujer,Buena
Pantalón,Dama,Negro,Deportivo,Marca B,594.99,37,2,38,Educación,Hombre,Buena
Chaqueta,Caballero,Amarillo,Deportivo,Marca D,1061.63,29,39,47,Ciencias Sociales y Humanidades,Mujer,Mala
Falda,Dama,Rojo,Casual,Marca B,1348.35,34,50,70,Ingeniería,Mujer,Regular
Falda,Dama,Blanco,Formal,Marca C,614.6,30,40,19,Artes,HombreMujer,Mala
Vestido,Dama,Azul,Deportivo,Marca B,1159.15,42,38,38,Educación,Mujer,Regular
Camisa,Caballero,Blanco,Deportivo,Marca C,999.38,46,2,70,Artes,HombreMujer,Buena
Chaqueta,Dama,Rojo,Deportivo,Marca B,960.8,39,0,41,Medicina,Mujer,Mala
Pantalón,Dama,Negro,Deportivo,Marca C,963.12,32,9,61,Educación,Mujer,Regular
Falda,Caballero,Azul,Deportivo,Marca B,603.01,31,9,58,Artes,Mujer,Buena
Falda,Dama,Verde,Formal,Marca C,520.27,46,49,57,Medicina,Mujer,Regular
Otros,Dama,Verde,Casual,Marca C,1071.15,36,40,60,Ingeniería,Hombre,Buena
Camisa,Dama,Azul,Deportivo,Marca A,977.4,46,20,56,Ingeniería,Hombre,Mala
Falda,Dama,Negro,Formal,Marca A,1084.35,45,11,29,Medicina,Hombre,Buena
Chaqueta,Caballero,Azul,Deportivo,Marca C,662.64,46,30,42,Ingeniería,Mujer,Buena
Pantalón,Caballero,Azul,Deportivo,Marca A,732.33,32,46,37,Artes,Mujer,Regular
Chaqueta,Dama,Negro,Casual,Marca D,1454.24,28,2,68,Educación,Mujer,Regular
Vestido,Dama,Azul,Formal,Marca D,1360.96,41,6,68,Medicina,HombreMujer,Mala
Pantalón,Dama,Azul,Casual,Marca B,1298.38,30,0,47,Educación,Hombre,Mala
Vestido,Dama,Verde,Formal,Marca D,914.13,40,44,41,Ingeniería,Hombre,Buena
Falda,Caballero,Negro,Deportivo,Marca A,518.53,44,2,54,Ingeniería,Mujer,Mala
Falda,Caballero,Amarillo,Formal,Marca D,1298.75,42,7,45,Educación,Mujer,Mala
Vestido,Caballero,Amarillo,Deportivo,Marca B,1342.67,33,24,70,Ingeniería,Hombre,Buena
Falda,Dama,Blanco,Formal,Marca B,1759.38,46,11,67,Medicina,Mujer,Mala
Otros,Dama,Verde,Formal,Marca C,1369.23,31,45,18,Artes,HombreMujer,Mala
Vestido,Dama,Rojo,Deportivo,Marca B,1716.4,40,40,24,Artes,HombreMujer,Buena
Chaqueta,Dama,Azul,Formal,Marca D,1171.14,37,48,57,Medicina,HombreMujer,Mala
Otros,Caballero,Blanco,Deportivo,Marca D,1737.99,38,46,51,Educación,Mujer,Regular
Vestido,Caballero,Blanco,Formal,Marca C,1159.0,32,49,58,Ingeniería,Hombre,Buena
Otros,Dama,Azul,Casual,Marca A,1597.56,31,50,66,Artes,HombreMujer,Buena
Falda,Caballero,Amarillo,Formal,Marca C,1682.97,38,9,25,Ciencias Sociales y Humanidades,Mujer,Mala
Chaqueta,Dama,Rojo,Deportivo,Marca D,1609.89,32,27,64,Artes,HombreMujer,Regular
Chaqueta,Caballero,Verde,Casual,Marca C,1971.07,45,9,69,Ingeniería,Mujer,Mala
Otros,Caballero,Verde,Deportivo,Marca A,1842.83,45,32,56,Educación,Mujer,Mala
Pantalón,Dama,Azul,Casual,Marca B,1268.13,39,32,50,Medicina,Mujer,Mala
Otros,Dama,Blanco,Casual,Marca C,1868.75,29,44,36,Educación,Hombre,Mala
Camisa,Dama,Blanco,Deportivo,Marca B,1469.06,41,18,21,Medicina,Hombre,Mala
Camisa,Dama,Rojo,Deportivo,Marca D,971.94,33,19,30,Educación,HombreMujer,Regular
Pantalón,Caballero,Verde,Deportivo,Marca A,677.96,46,29,55,Ingeniería,Hombre,Regular
Camisa,Caballero,Blanco,Deportivo,Marca B,1253.7,42,36,22,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Caballero,Azul,Formal,Marca D,1315.69,29,33,46,Medicina,Hombre,Buena
Camisa,Caballero,Negro,Casual,Marca B,1095.37,44,42,18,Artes,Mujer,Mala
Chaqueta,Dama,Rojo,Deportivo,Marca D,1574.03,36,46,26,Medicina,Mujer,Buena
Chaqueta,Dama,Azul,Casual,Marca A,1742.44,35,37,53,Medicina,HombreMujer,Regular
Vestido,Caballero,Amarillo,Deportivo,Marca A,692.82,39,30,33,Medicina,Hombre,Mala
Camisa,Caballero,Blanco,Formal,Marca A,1245.56,44,15,26,Ciencias Sociales y Humanidades,HombreMujer,Mala
Otros,Dama,Negro,Casual,Marca C,1370.64,35,11,20,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Dama,Amarillo,Formal,Marca A,1455.98,39,12,45,Artes,Hombre,Buena
Otros,Dama,Negro,Casual,Marca B,1574.79,32,6,55,Medicina,HombreMujer,Buena
Camisa,Caballero,Negro,Formal,Marca A,1408.58,31,20,29,Medicina,HombreMujer,Mala
Vestido,Dama,Verde,Deportivo,Marca A,1957.59,34,21,39,Artes,HombreMujer,Buena
Pantalón,Caballero,Negro,Formal,Marca A,1332.75,32,1,38,Medicina,HombreMujer,Regular
Vestido,Caballero,Amarillo,Casual,Marca D,1287.63,39,50,47,Medicina,HombreMujer,Regular
Otros,Dama,Verde,Formal,Marca A,938.5,39,10,49,Medicina,Mujer,Mala
Camisa,Caballero,Verde,Casual,Marca A,702.35,28,11,45,Medicina,Mujer,Mala
Vestido,Dama,Negro,Deportivo,Marca A,532.26,34,12,25,Ciencias Sociales y Humanidades,HombreMujer,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca D,671.28,42,22,43,Educación,Mujer,Regular
Vestido,Caballero,Azul,Casual,Marca D,1796.35,46,4,31,Ingeniería,Hombre,Mala
Camisa,Dama,Blanco,Deportivo,Marca A,908.51,38,32,43,Artes,Mujer,Mala
Vestido,Caballero,Rojo,Deportivo,Marca D,665.66,42,7,56,Medicina,Hombre,Regular
Vestido,Caballero,Azul,Formal,Marca A,1911.78,31,1,63,Artes,HombreMujer,Mala
Vestido,Caballero,Azul,Formal,Marca A,1049.37,40,5,53,Artes,Mujer,Mala
Chaqueta,Caballero,Verde,Formal,Marca B,1634.77,30,4,31,Artes,HombreMujer,Buena
Chaqueta,Caballero,Azul,Formal,Marca B,524.74,39,29,43,Ingeniería,Hombre,Buena
Chaqueta,Caballero,Rojo,Deportivo,Marca A,579.04,36,50,45,Ingeniería,HombreMujer,Buena
Otros,Caballero,Verde,Casual,Marca D,1650.1,36,14,29,Educación,Hombre,Mala
Falda,Caballero,Amarillo,Casual,Marca B,1889.7,44,28,25,Medicina,HombreMujer,Mala
Pantalón,Caballero,Rojo,Casual,Marca C,742.67,33,7,57,Educación,HombreMujer,Buena
Chaqueta,Dama,Blanco,Casual,Marca A,1603.64,33,26,56,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Dama,Verde,Casual,Marca A,1288.77,28,0,49,Medicina,Mujer,Regular
Falda,Dama,Rojo,Casual,Marca C,1864.03,38,35,18,Ingeniería,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca A,1909.59,41,40,35,Medicina,Mujer,Buena
Camisa,Caballero,Azul,Formal,Marca C,808.07,35,20,27,Educación,Hombre,Regular
Otros,Caballero,Blanco,Casual,Marca A,1525.55,36,22,35,Ingeniería,HombreMujer,Regular
Otros,Caballero,Blanco,Deportivo,Marca C,1304.11,35,50,40,Medicina,HombreMujer,Mala
Chaqueta,Dama,Negro,Deportivo,Marca C,1786.95,37,28,62,Artes,Hombre,Regular
Chaqueta,Dama,Negro,Casual,Marca D,1652.69,46,43,59,Artes,Mujer,Buena
Otros,Dama,Negro,Casual,Marca B,993.73,37,2,43,Artes,Mujer,Buena
Vestido,Dama,Verde,Deportivo,Marca C,1555.88,45,21,70,Educación,HombreMujer,Mala
Otros,Dama,Azul,Casual,Marca D,1106.47,31,15,47,Artes,Hombre,Buena
Camisa,Caballero,Amarillo,Formal,Marca C,609.82,38,48,26,Educación,Hombre,Mala
Vestido,Caballero,Verde,Formal,Marca C,1368.2,37,5,70,Educación,HombreMujer,Mala
Falda,Caballero,Azul,Formal,Marca A,1675.8,37,30,31,Ingeniería,Mujer,Regular
Vestido,Dama,Negro,Casual,Marca A,994.45,46,12,23,Artes,HombreMujer,Buena
Chaqueta,Dama,Rojo,Casual,Marca B,606.32,32,41,29,Ciencias Sociales y Humanidades,HombreMujer,Regular
Chaqueta,Dama,Amarillo,Casual,Marca D,1795.75,41,34,44,Artes,Hombre,Regular
Vestido,Dama,Verde,Deportivo,Marca D,676.63,30,18,19,Ciencias Sociales y Humanidades,HombreMujer,Mala
Otros,Caballero,Azul,Casual,Marca D,1410.56,43,50,22,Medicina,Hombre,Mala
Vestido,Dama,Verde,Casual,Marca A,530.92,32,36,61,Medicina,Hombre,Regular
Chaqueta,Caballero,Azul,Casual,Marca A,1869.8,44,34,40,Medicina,Mujer,Regular
Chaqueta,Dama,Azul,Formal,Marca B,646.92,42,15,58,Ciencias Sociales y Humanidades,Hombre,Mala
Camisa,Dama,Negro,Formal,Marca B,1148.04,33,24,58,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Dama,Amarillo,Deportivo,Marca B,1883.86,36,39,62,Artes,HombreMujer,Buena
Pantalón,Dama,Verde,Formal,Marca A,1981.73,40,8,34,Ingeniería,HombreMujer,Regular
Falda,Dama,Blanco,Casual,Marca D,1372.09,44,7,26,Ingeniería,Hombre,Mala
Pantalón,Dama,Amarillo,Formal,Marca A,1577.04,36,21,19,Artes,Mujer,Mala
Chaqueta,Dama,Amarillo,Casual,Marca B,692.28,31,26,20,Medicina,Mujer,Mala
Otros,Dama,Blanco,Deportivo,Marca C,1788.56,30,50,35,Medicina,HombreMujer,Buena
Chaqueta,Dama,Negro,Deportivo,Marca C,550.38,45,7,52,Artes,Hombre,Regular
Vestido,Caballero,Negro,Casual,Marca D,925.48,33,17,24,Artes,Hombre,Buena
Pantalón,Dama,Negro,Casual,Marca C,1699.81,44,25,28,Artes,Mujer,Mala
Otros,Dama,Verde,Deportivo,Marca A,824.94,33,33,38,Medicina,HombreMujer,Mala
Camisa,Caballero,Amarillo,Formal,Marca D,1390.94,28,16,66,Medicina,Hombre,Buena
Vestido,Caballero,Blanco,Formal,Marca A,1914.27,38,11,40,Ciencias Sociales y Humanidades,Mujer,Mala
Pantalón,Dama,Amarillo,Casual,Marca D,1072.22,37,45,56,Artes,Mujer,Mala
Otros,Caballero,Rojo,Deportivo,Marca C,1541.82,29,39,47,Medicina,Hombre,Buena
Chaqueta,Caballero,Rojo,Formal,Marca B,1918.75,44,1,20,Medicina,HombreMujer,Buena
Chaqueta,Dama,Rojo,Casual,Marca C,1638.68,29,36,64,Ciencias Sociales y Humanidades,HombreMujer,Mala
Vestido,Caballero,Amarillo,Deportivo,Marca C,1502.41,31,5,44,Medicina,Hombre,Buena
Otros,Caballero,Rojo,Casual,Marca C,1307.92,29,25,45,Artes,Mujer,Buena
Pantalón,Dama,Blanco,Formal,Marca C,1403.77,39,22,27,Medicina,HombreMujer,Regular
Falda,Caballero,Rojo,Casual,Marca C,509.52,39,5,25,Ingeniería,Hombre,Regular
Chaqueta,Dama,Blanco,Formal,Marca C,1806.68,40,9,69,Ingeniería,Hombre,Mala
Camisa,Caballero,Negro,Deportivo,Marca A,604.07,30,32,55,Ingeniería,Hombre,Mala
Camisa,Dama,Amarillo,Formal,Marca C,1758.55,44,24,31,Educación,HombreMujer,Mala
Falda,Caballero,Azul,Casual,Marca A,1586.13,33,44,31,Medicina,Hombre,Mala
Vestido,Caballero,Verde,Casual,Marca B,1316.65,31,41,50,Artes,Mujer,Regular
Pantalón,Dama,Rojo,Casual,Marca C,721.32,38,40,39,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca B,922.75,31,36,66,Educación,HombreMujer,Regular
Chaqueta,Dama,Amarillo,Casual,Marca D,989.1,44,3,25,Ingeniería,Hombre,Regular
Chaqueta,Dama,Negro,Formal,Marca C,1231.49,37,27,65,Ingeniería,HombreMujer,Mala
Pantalón,Dama,Negro,Formal,Marca B,1864.31,40,26,62,Medicina,Mujer,Regular
Otros,Dama,Rojo,Casual,Marca B,1402.11,45,37,51,Educación,Hombre,Mala
Camisa,Dama,Rojo,Deportivo,Marca A,1472.08,30,44,18,Ingeniería,HombreMujer,Regular
Chaqueta,Dama,Amarillo,Formal,Marca C,743.56,33,28,27,Artes,HombreMujer,Regular
Falda,Dama,Rojo,Formal,Marca B,1048.51,35,8,42,Artes,Mujer,Mala
Pantalón,Caballero,Rojo,Formal,Marca C,1599.72,42,27,24,Ingeniería,Hombre,Regular
